Nom Consession,Date,Remarque,Source,Production Gaz en k Sm3,Production Gaz en k Nm3,Gaz vendu (Steg) en K Sm3,Gaz vendu (Steg) en K Nm3,Gaz vendu (Steg) en TEP,Gaz vendu (Steg) HP en K Sm3,Gaz vendu (Steg) HP en K Nm3,Gaz vendu (Steg) HP en TEP,Gaz vendu (Steg) BP en K Sm3,Gaz vendu (Steg) BP en K Nm3,Gaz vendu (Steg) BP en TEP,Gaz vendu Off Spec (Steg) en k Nm3,Gaz vendu Off Spec (Steg) en k Sm3,Gaz vendu Riche en k Nm3,Gaz vendu Riche Supérieur en k Nm3,Gaz vendu hors contrat en k Nm3,Gaz Torché en k Sm3,Fuel Gas Consommé en k Sm3,Injection Gaz en k Sm3,PCS en Kcal/Nm3,PCS BP en Kcal/Nm3 ,PCS HP en Kcal/Nm3 ,Wobbe index,Production Huile en m3,Production Huile en Tonne,Densité Huile en g/cm3,Production GPL en m3,Production GPL en Tonne,Densité GPL en g/cm3,Production Butane en m3,Production Butane en Tonne,Densité Butane en g/cm3,Production Propane en m3,Production Propane en Tonne,Densité Propane en g/cm3,Production Pentane en m3,Production Pentane en Tonne,Densité Pentane en g/cm3,Production Eau en m3,Injection de l'Eau,salinite de l'eau injecte en mg/l,salinite de l'eau produit en mg/l,Production condensat en m3,Production condensat en Tonne,Injection Condensat en m3,Densité Condensat en g/cm3,Production de CO2 en K Sm3,PCS Gas vendu riche supérieur en Kcal/Nm3,PCS Gas vendu riche en Kcal/Nm3,Gaz Torché en k Nm3
JEBEL GROUZ NEW,2021-05-01 00:00:00,,,846.688,893.2099468729331,669.738,706.5372881141394,790.0899300000001,,,,,,,,,,,,3.379,,,11797.000170215817,,,,1532.236,1203.7733812945487,0.7856318356275069,,,,,,,,,,,,,,,,,,,,,,,,3.203008164
JINANE NEW,2021-05-01 00:00:00,,,38.68442242990654,40.809968847352025,,,,,,,,,,,,,,,0.7248295666949871,,,0,,,,540.1239472429684,0,,,,,,,,,,,,,,,,,,,,,,,,,0.6870775435432454
MAAMOURA NEW,2021-05-01 00:00:00,,,1665.987,1757.525983314984,1403.412,1480.5235906979156,0,,,,,,,,,,,,47.791000000000004,,,9859.601840128777,,,,2177.871065554716,,0.787418042470041,,195.866,,,,,,,,,,,,,,,,,,,,,,45.301853556000005
MLD NEW,2021-05-01 00:00:00,,,2148.2876245320003,2266.327,1537.607908188,1622.093,,,,,,,,,,,,,507.83083034400005,,,11887,,,,9143.055,7424.1606600000005,0.812,,,,,,,,,,,,,,,,,,,,,,,,481.38096937636317
NAWARA/BANAFSEJ SUD,2021-05-01 00:00:00,,,61493.493462361934,64872.30246389125,51985.090856739596,54841.4531,,,,,,,,,,0,417.71440000000575,,292.80657037666384,,,,,,,9159.860162084857,6072.987287462261,0.663,,,,2704.2400000000002,1.54952952,0.573,4636.799999999999,2.3554943999999995,0.508,,,,,,,,,,,,,9970.496588099291,0,
OUED ZAR NEW,2021-05-01 00:00:00,,,1886.3690000000001,1990.0170479240853,,,,1716.8858390000005,1811.2214995843588,1878.2016481927913,0,0,0,,,,,,0,,,,,10939.583783198708,,6012.91,4877.909251146775,0.8112393585047465,,,,,,,,,,,,,,,,,0,,,,,,,0
RHEMOURA NEW,2021-05-01 00:00:00,,,169.84819554624002,179.18064,,,,,,,,,,,,,,,169.84853679600002,,,,,,,1860.7977117432067,1594.5175591927539,0.8569,,,,,,,,,,,,,,,,,,,,,,,,161.00214560551714
SABRIA NEW,2021-05-01 00:00:00,,,1071.8323191000002,1130.7250000000001,911.76722334,961.865,5661.216768333334,,,,,,,,,,,,9.467785008,,,10542.61,,,,2366.739,1898.125,,,,,,,,,,,,,,,,,,,,,,,,,8.974664893643327
SIDI EL KILANI NEW,2021-05-01 00:00:00,,,53.53391544767722,56.4753790923217,,,56475.3790923217,,,,,,,,,,,,,,,,,,,2012,0.8234,,,,,,,,,,,,,,,,,,,,,,,,,
SONDES NEW,2020-05-01 00:00:00,Shut in,,0,0,,,,,,,,,,,,,,,0,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0
TAMESMIDA NEW,2021-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,261.092,219.081,0.8390950316363581,,,,,,,,,,,,,,,,,,,,,,,,
